doi,title,abstract,publication_year,source,cited_by_count,is_oa,oa_url,query_label,filter_decision,filter_reason
https://doi.org/10.1038/s41586-023-06792-0,Autonomous chemical research with large language models,"Transformer-based large language models are making significant strides in various fields, such as natural language processing<sup>1-5</sup>, biology<sup>6,7</sup>, chemistry<sup>8-10</sup> and computer programming<sup>11,12</sup>. Here, we show the development and capabilities of Coscientist, an artificial intelligence system driven by GPT-4 that autonomously designs, plans and performs complex experiments by incorporating large language models empowered by tools such as internet and documentation search, code execution and experimental automation. Coscientist showcases its potential for accelerating research across six diverse tasks, including the successful reaction optimization of palladium-catalysed cross-couplings, while exhibiting advanced capabilities for (semi-)autonomous experimental design and execution. Our findings demonstrate the versatility, efficacy and explainability of artificial intelligence systems like Coscientist in advancing research.",2023,Nature,720,TRUE,https://www.nature.com/articles/s41586-023-06792-0.pdf,Venue: Nature,EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.3390/app10134482,A New Concept of Digital Twin Supporting Optimization and Resilience of Factories of the Future,"In the context of Industry 4.0, a growing use is being made of simulation-based decision-support tools commonly named Digital Twins. Digital Twins are replicas of the physical manufacturing assets, providing means for the monitoring and control of individual assets. Although extensive research on Digital Twins and their applications has been carried out, the majority of existing approaches are asset specific. Little consideration is made of human factors and interdependencies between different production assets are commonly ignored. In this paper, we address those limitations and propose innovations for cognitive modeling and co-simulation which may unleash novel uses of Digital Twins in Factories of the Future. We introduce a holistic Digital Twin approach, in which the factory is not represented by a set of separated Digital Twins but by a comprehensive modeling and simulation capacity embracing the full manufacturing process including external network dependencies. Furthermore, we introduce novel approaches for integrating models of human behavior and capacities for security testing with Digital Twins and show how the holistic Digital Twin can enable new services for the optimization and resilience of Factories of the Future. To illustrate this approach, we introduce a specific use-case implemented in field of Aerospace System Manufacturing.",2020,Applied Sciences,169,TRUE,https://www.mdpi.com/2076-3417/10/13/4482/pdf?version=1593522157,Block 2E: Tacit knowledge,EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.1007/s41315-021-00180-5,Digital twins: artificial intelligence and the IoT cyber-physical systems in Industry 4.0,"Abstract This paper presents a summary of mechanisms for the evolution of artificial intelligence in ‘internet of things’ networks. Firstly, the paper investigates how the use of new technologies in industrial systems improves organisational resilience supporting both a technical and human level. Secondly, the paper reports empirical results that correlate academic literature with Industry 4.0 interdependencies between edge components to both external and internal services and systems. The novelty of the paper is a new approach for creating a virtual representation operating as a real-time digital counterpart of a physical object or process (i.e., digital twin) outlined in a conceptual diagram. The methodology applied in this paper resembled a grounded theory analysis of complex interconnected and coupled systems. By connecting the human–computer interactions in different information knowledge management systems, this paper presents a summary of mechanisms for the evolution of artificial intelligence in internet of things networks.",2021,International Journal of Intelligent Robotics and Applications,137,TRUE,https://link.springer.com/content/pdf/10.1007/s41315-021-00180-5.pdf,Block 2E: Tacit knowledge,EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.1590/0001-3765202120191290,Technological competitiveness and emerging technologies in industry 4.0 and industry 5.0,"Technological competitiveness and emerging technologies are more necessary in the organizational strategy to cope with industrial advances and improve the nation’s economy. In this sense, technological innovation, computational developments, smart devices, and other technologies are shaping the new industrial revolutions. Therefore, the technological competitiveness and emerging technologies of industry 4.0 and industry 5.0 are holistically analyzed to identify the key elements of developed economies and emerging economies. For this, we used a bibliometric analysis with Biblioshiny, a systematic review of the literature and a content analysis. The results in terms of technological competitiveness in developed economies show the importance of the competences and engineering skills in the personnel approach; R+D+i and the supply chain in the organizational approach; and the use of emerging technologies such as the internet of things and big data. The comparison with emerging economies indicates the importance of key elements such as training and education, and skills in the personnel approach; sustainability and structure in the organizational approach; and emerging technologies such as the internet of things and digitalization.",2021,Anais da Academia Brasileira de Ciências,96,TRUE,http://www.scielo.br/j/aabc/a/YG9sF86HVgDWSBQB5BKvLrb/?format=pdf&lang=en,Block 2E: Tacit knowledge,EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.1002/agj2.21353,Artificial intelligence in farming: Challenges and opportunities for building trust,"Abstract Artificial intelligence (AI) represents technologies with human‐like cognitive abilities to learn, perform, and make decisions. AI in precision agriculture (PA) enables farmers and farm managers to deploy highly targeted and precise farming practices based on site‐specific agroclimatic field measurements. The foundational and applied development of AI has matured considerably over the last 30 years. The time is now right to engage seriously with the ethics and responsible practice of AI for the well‐being of farmers and farm managers. In this paper, we identify and discuss both challenges and opportunities for improving farmers’ trust in those providing AI solutions for PA. We highlight that farmers’ trust can be moderated by how the benefits and risks of AI are perceived, shared, and distributed. We propose four recommendations for improving farmers’ trust. First, AI developers should improve model transparency and explainability. Second, clear responsibility and accountability should be assigned to AI decisions. Third, concerns about the fairness of AI need to be overcome to improve human‐machine partnerships in agriculture. Finally, regulation and voluntary compliance of data ownership, privacy, and security are needed, if AI systems are to become accepted and used by farmers.",2023,Agronomy Journal,90,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/agj2.21353,Block 2E: Tacit knowledge,EXCLUDE,Non-research operational AI: precision agriculture
https://doi.org/10.1080/00207543.2022.2079437,"In pursuit of humanised order picking planning: methodological review, literature classification and input from practice","At the core of every high-performing warehouse is an efficient order picking (OP) system. To attain such a system, policy choices should be carefully aligned with subjects responsible for the actual picking within the established system. Despite recent advancements in automating the picking process due to Industry 4.0, human operators will continue to play a crucial role in the future of warehousing. However, unlike robots, human operators have specific skills, conduct, and perceptions, which are only partly accounted for in current planning models. This review adopts a multimethod approach to identify and analyse how these phenomena are currently integrated into OP planning problems. In addition, we assess the relevance and adequacy of human factors modelling in academic literature with practice-based insights gathered via semi-structured interviews. This leads to five major human factors integration constructs and dedicated recommendations on how to refine them. We then take the analysis one step further and make suggestions on how to integrate these constructs with leading research methodologies in the context of Industry 5.0. The results highlight the prevalent need to increasingly account for psychosocial phenomena and their impact on operational performance. Future research opportunities provide a substantiated foundation to assist in human-centric work design.",2022,International Journal of Production Research,83,FALSE,https://pure.eur.nl/ws/files/56272516/In_pursuit_of_humanised_order_picking_planning_methodological_review_literature_classification_and_input_from_practice.pdf,Block 2E: Tacit knowledge,EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.1080/10439463.2020.1803315,The ‘uberization of policing’? How police negotiate and operationalise predictive policing technology,"Predictive policing generally refers to police work that utilises strategies, algorithmic technologies, and big data to generate near-future predictions about the people and places deemed likely to be involved in or experience crime. Claimed benefits of predictive policing centre on the technology’s ability to enable pre-emptive police work by automating police decisions. The goal is that officers will rely on computer software and smartphone applications to instruct them about where and who to police just as Uber drivers rely on similar technologies to instruct them about where to pick up passengers. Unfortunately, little is known about the experiences of the in-field users of predictive technologies. This article helps fill this gap by addressing the under researched area of how police officers engage with predictive technologies. As such, data is presented that outlines the findings of a qualitative study with UK police organisations involved in designing and trialing predictive policing software. Research findings show that many police officers have a detailed awareness of the limitations of predictive technologies, specifically those brought about by errors and biases in input data. This awareness has led many officers to develop a sceptical attitude towards predictive technologies and, in a few cases, these officers have expressed a reluctance to use predictive technologies. Based on these findings, this paper argues that claims about predictive software’s ability to neutralise the subjectivity of police work overlooks the ongoing struggles of the police officer to assert their agency and mediate the extent to which predictions will be trusted and utilised.",2020,Policing & Society,83,TRUE,https://www.tandfonline.com/doi/pdf/10.1080/10439463.2020.1803315?needAccess=true,Block 2E: Tacit knowledge,EXCLUDE,Prediction/forecasting as primary purpose: predictive policing
https://doi.org/10.21428/cb6ab371.17e3e7ab,Criminal Futures: Predictive Policing and Everyday Police Work,"In this book, Simon Egbert and CSS’ Matthias Leese explore how predictive policing transforms police work. Police departments around the world have started to use data-driven applications to produce crime forecasts and intervene into the future through targeted prevention measures. The authors argue that predictive policing must not be analyzed as an isolated technological artifact, but as part of a larger sociotechnical system that is embedded in organizational structures and occupational cultures. Building on empirical findings from three years of field research in Germany and Switzerland, the book presents a number of practical recommendations for the prudent use of algorithmic analysis tools in police work that will speak to the protection of civil liberties and human rights as much as they will speak to the professional needs of police organizations.",2020,CrimRxiv,80,TRUE,https://www.crimrxiv.com/pub/mykuq1ng/download/pdf,Block 2E: Tacit knowledge,EXCLUDE,Prediction/forecasting as primary purpose: predictive policing
https://doi.org/10.1111/1541-4337.70040,From Food Industry 4.0 to Food Industry 5.0: Identifying technological enablers and potential future applications in the food sector,"Although several food-related fields have yet to fully grasp the speed and breadth of the fourth industrial revolution (also known as Industry 4.0), growing literature from other sectors shows that Industry 5.0 (referring to the fifth industrial revolution) is already underway. Food Industry 4.0 has been characterized by the fusion of physical, digital, and biological advances in food science and technology, whereas future Food Industry 5.0 could be seen as a more holistic, multidisciplinary, and multidimensional approach. This review will focus on identifying potential enabling technologies of Industry 5.0 that could be harnessed to shape the future of food in the coming years. We will review the state-of-the-art studies on the use of innovative technologies in various food and agriculture applications over the last 5 years. In addition, opportunities and challenges will be highlighted, and future directions and conclusions will be drawn. Preliminary evidence suggests that Industry 5.0 is the outcome of an evolutionary process and not of a revolution, as is often claimed. Our results show that regenerative and/or conversational artificial intelligence, the Internet of Everything, miniaturized and nanosensors, 4D printing and beyond, cobots and advanced drones, edge computing, redactable blockchain, metaverse and immersive techniques, cyber-physical systems, digital twins, and sixth-generation wireless and beyond are likely to be among the main driving technologies of Food Industry 5.0. Although the framework, vision, and value of Industry 5.0 are becoming popular research topics in various academic and industrial fields, the agri-food sector has just started to embrace some aspects and dimensions of Industry 5.0.",2024,Comprehensive Reviews in Food Science and Food Safety,75,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1541-4337.70040,Block 1H: AI and research practice (no field restriction),EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.5465/amd.2019.0012,Employees’ Perspectives on Digitalization-Induced Change: Exploring Frames of Industry 4.0,"How do employees perceive strategic technology initiatives? Understanding this is crucial for attaining employees’ acceptance, and so for successful initiative implementation. Drawing on timely cases of digitalization-induced change initiatives triggered by Industry 4.0, the digital networking of the manufacturing industry, we investigate manufacturing employees’ thoughts and feelings with regard to this proclaimed fourth industrial revolution. We employ the Zaltman metaphor elicitation technique (ZMET), a semi-structured, in-depth interview format, to unearth individuals’ deep-seated beliefs and values, and thereby identify five distinct frames (utilitarian, functional, anthropocentric, traditional, and playful) which drive employees’ attitudes toward Industry 4.0. Based on this inductive approach and our further analysis of frame adoption patterns, we make a first step toward a cognitive theory on the perception of digitalization-induced change that foregrounds employees’ perspectives and helps us understand why and when certain employees accept digitalization-induced change, whereas others do not. Our findings inform managerial practice on (i) how to promote far-reaching digitalization initiatives across employees and (ii) how to address the individual employee via frame-contingent communication to increase the likelihood of successful implementation. Furthermore, our study adds to theory on cognitive frames, ambivalent attitudes toward change, and framing effectiveness. Finally, our study makes a methodological contribution by adapting ZMET, a market research technique (geared toward customers), to the manufacturing shop floor (geared toward employees).",2020,Academy of Management Discoveries,61,FALSE,https://pure.eur.nl/ws/files/212335095/Employees_Perspectives_on_Digitalization-Induced_Change.pdf,Block 2E: Tacit knowledge,EXCLUDE,Big data/Industry 4.0 frame: industry 4.0
https://doi.org/10.48550/arxiv.2305.10435,"Generative Pre-trained Transformer: A Comprehensive Review on Enabling Technologies, Potential Applications, Emerging Challenges, and Future Directions","The Generative Pre-trained Transformer (GPT) represents a notable breakthrough in the domain of natural language processing, which is propelling us toward the development of machines that can understand and communicate using language in a manner that closely resembles that of humans. GPT is based on the transformer architecture, a deep neural network designed for natural language processing tasks. Due to their impressive performance on natural language processing tasks and ability to effectively converse, GPT have gained significant popularity among researchers and industrial communities, making them one of the most widely used and effective models in natural language processing and related fields, which motivated to conduct this review. This review provides a detailed overview of the GPT, including its architecture, working process, training procedures, enabling technologies, and its impact on various applications. In this review, we also explored the potential challenges and limitations of a GPT. Furthermore, we discuss potential solutions and future directions. Overall, this paper aims to provide a comprehensive understanding of GPT, enabling technologies, their impact on various applications, emerging challenges, and potential solutions.",2023,arXiv (Cornell University),60,TRUE,https://arxiv.org/pdf/2305.10435,Block 1H: AI and research practice (no field restriction),EXCLUDE,NLP/text processing focus: natural language processing
https://doi.org/10.1093/ageing/afad219,New Horizons in artificial intelligence in the healthcare of older people,"Artificial intelligence (AI) in healthcare describes algorithm-based computational techniques which manage and analyse large datasets to make inferences and predictions. There are many potential applications of AI in the care of older people, from clinical decision support systems that can support identification of delirium from clinical records to wearable devices that can predict the risk of a fall. We held four meetings of older people, clinicians and AI researchers. Three priority areas were identified for AI application in the care of older people. These included: monitoring and early diagnosis of disease, stratified care and care coordination between healthcare providers. However, the meetings also highlighted concerns that AI may exacerbate health inequity for older people through bias within AI models, lack of external validation amongst older people, infringements on privacy and autonomy, insufficient transparency of AI models and lack of safeguarding for errors. Creating effective interventions for older people requires a person-centred approach to account for the needs of older people, as well as sufficient clinical and technological governance to meet standards of generalisability, transparency and effectiveness. Education of clinicians and patients is also needed to ensure appropriate use of AI technologies, with investment in technological infrastructure required to ensure equity of access.",2023,Age and Ageing,58,TRUE,https://academic.oup.com/ageing/article-pdf/52/12/afad219/54642858/afad219.pdf,Block 1H: AI and research practice (no field restriction),EXCLUDE,Non-research operational AI: clinical decision support system
